"gene_names","genes","match","rank"
"FBgn0259977__Tdc1","FBgn0259977","0",84
"FBgn0052432__CG32432","FBgn0052432","1",85
"FBgn0010762__simj","FBgn0010762","1",86
"FBgn0025936__Eph","FBgn0025936","1",87
"FBgn0031064__CG12531","FBgn0031064","1",88
"FBgn0032444__CCT4","FBgn0032444","1",89
"FBgn0265974__ttv","FBgn0265974","1",90
"FBgn0039900__Syt7","FBgn0039900","1",91
"FBgn0013576__mtd","FBgn0013576","1",92
"FBgn0028879__wwk","FBgn0028879","1",93
"FBgn0033725__Cpr49Ac","FBgn0033725","0",94
"FBgn0261705__CG42741","FBgn0261705","0",95
"FBgn0003710__tipE","FBgn0003710","0",96
"FBgn0038126__CG8483","FBgn0038126","0",97
"FBgn0053970__osy","FBgn0053970","1",98
"FBgn0283681__Tcs3","FBgn0283681","0",99
"FBgn0053258__CG33258","FBgn0053258","0",100
"FBgn0050158__CG30158","FBgn0050158","1",101
"FBgn0035816__CG13685","FBgn0035816","0",102
"FBgn0029867__CG3847","FBgn0029867","1",103
"FBgn0028644__beat-Ic","FBgn0028644","0",104
"FBgn0004509__Fur1","FBgn0004509","1",105
"FBgn0267534__asRNA:CR45874","FBgn0267534","0",106
"FBgn0085432__pan","FBgn0085432","1",107
"FBgn0025571__SF1","FBgn0025571","0",108
"FBgn0004118__nAChRbeta2","FBgn0004118","1",109
"FBgn0033677__CG8321","FBgn0033677","1",110
"FBgn0038201__PK1-R","FBgn0038201","0",111
"FBgn0264815__Pde1c","FBgn0264815","0",112
"FBgn0052190__NUCB1","FBgn0052190","1",113
"FBgn0036463__Reck","FBgn0036463","1",114
"FBgn0035831__Pop4","FBgn0035831","0",115
"FBgn0034218__CG18467","FBgn0034218","0",116
"FBgn0266275__asRNA:CR44960","FBgn0266275","0",117
"FBgn0267472__asRNA:CR45822","FBgn0267472","0",118
"FBgn0026189__promL","FBgn0026189","1",119
"FBgn0266354__CG45002","FBgn0266354","0",120
"FBgn0011259__Sema1a","FBgn0011259","0",121
"FBgn0004175__Mst84Dd","FBgn0004175","0",122
"FBgn0051646__DIP-theta","FBgn0051646","0",123
"FBgn0011573__Cdc37","FBgn0011573","1",124
"FBgn0038881__aus","FBgn0038881","1",125
"FBgn0037202__Ssl1","FBgn0037202","1",126
"FBgn0085407__Pvf3","FBgn0085407","0",127
"FBgn0283657__Tlk","FBgn0283657","1",128
"FBgn0036807__CG6893","FBgn0036807","0",129
"FBgn0004198__ct","FBgn0004198","0",130
"FBgn0052082__IRSp53","FBgn0052082","1",131
"FBgn0063649__CG6006","FBgn0063649","1",132
"FBgn0053784__CG33784","FBgn0053784","0",133
"FBgn0261403__sxc","FBgn0261403","1",134
"FBgn0025725__alphaCOP","FBgn0025725","0",135
"FBgn0037763__CG16904","FBgn0037763","0",136
"FBgn0029922__CG14431","FBgn0029922","0",137
"FBgn0034136__DAT","FBgn0034136","0",138
"FBgn0020238__14-3-3epsilon","FBgn0020238","1",139
"FBgn0262636__dati","FBgn0262636","1",140
"FBgn0037624__Nasp","FBgn0037624","0",141
"FBgn0051344__CG31344","FBgn0051344","1",142
"FBgn0283451__br","FBgn0283451","0",143
"FBgn0265276__l(3)neo38","FBgn0265276","1",144
